
Afghanistan         ,9583    ,27626    ,37209                     
Bangladesh          ,62866   ,105200   ,168066                   
Bhutan              ,344      ,482       ,826                       
India               ,471828  ,896909   ,1368738                
Islamic Rep. of Iran,62439   ,20381    ,82821                    
Maldives            ,182      ,270       ,452                       
Nepal               ,6034    ,23908    ,29942                    
Pakistan            ,75511   ,129086   ,204596                    
Sri Lanka           ,3906    ,17112    ,21019                    
Angola              ,21036   ,10752    ,31788                     
Benin               ,5646    ,6153     ,11802                     
Botswana            ,1666    ,708       ,2375                     
Burkina Faso        ,6092    ,14229    ,20322                    
Burundi             ,1547    ,10029    ,11576                    
Cameroon            ,14420   ,10893   ,25313                    
Central African Rep.,2016    ,2180     ,4826                     
Chad                ,3681    ,12133    ,15814                    
Congo               ,3734    ,1808     ,5542                     
Cote d'Ivoire       ,13082   ,12449    ,25531                    
Ethiopia            ,23376   ,86759    ,110136                  
Gabon               ,1893    ,216       ,2109                     
Gambia              ,1380    ,848       ,2228                     
Ghana               ,17067   ,13030    ,30097                    
Guinea              ,4890    ,8508     ,13398                     
Kenya               ,14363   ,37852    ,52215                    
Liberia             ,2569    ,2408     ,4978                     
Madagascar          ,10211   ,16759    ,26970                    
Malawi              ,3387    ,16332    ,19719                    
Mauritania          ,2541    ,2121     ,4661                     
Mozambique          ,11473   ,19936    ,31409                    
Namibia             ,1349    ,1293     ,2642                     
Niger               ,3828    ,19349    ,23177                    
Nigeria             ,102806 ,98156    ,200962                   
Rwanda              ,2215   ,10579    ,12794                    
Senegal             ,7979    ,8765     ,16744                    
South Africa        ,38820   ,19245    ,58065                    
South Sudan         ,2639    ,10624    ,13263                    
United Rep. of Tanz.,21015  , 39898    ,60914                    
Togo                ,3459   ,4728     ,8186                     
Uganda              ,11136   ,34576    ,45712                    
Zambia              ,7993    ,10144     ,18137                     
Zimbabwe            ,5572    ,11726    ,17297 
