Countryname, urbanpop, ruralpop, totalpop
Algeria, 31236, 11433, 42679                              
Bahrain, 1464, 174, 1638                                          
Egypt, 43229, 57939, 101169                            
Iraq, 28563, 11850, 40412                         
Jordan, 9184, 886, 10070                    
Kuwait, 4249, 0, 4249                   
Lebanon, 5384, 682, 6066                     
Libya, 5282, 1288, 6570                     
Morocco, 23078, 13557, 36635                                
Oman, 4274, 728, 5002                     
Qatar, 2722, 22, 2744                    
Saudi Arabia, 28700, 5440, 34141                    
Somalia, 7123, 8513, 15636                                               
Syrian Arab Republic, 10141, 8358, 18499                    
Tunisia, 8160, 3623, 11783                    
United Arab Emirates, 8403, 1279, 9682                     
Yemen, 11025, 18555, 29850
