
Albania             ,1799    ,1139     ,2938                     
Armenia             ,1857    ,1080     ,2937                      
Azerbaijan          ,5611    ,4403     ,10015                    
Belarus             ,7457    ,1977     ,9434                     
Bosnia and Herze.   ,1703    ,1799     ,3502                     
Gerogia             ,2305    ,1599     ,3904                     
Kazakhstan          ,10698   ,7895     ,18593                    
Kyrgyzstan          ,2275    ,3943     ,6219                    
Rep. of Moldova     ,1722    ,2308     ,4030                     
Montenegro          ,423      ,207       ,629                      
Serbia              ,4913    ,3820     ,8733                    
Tajikistan          ,2538    ,6754     ,9292                     
Turkey              ,62744   ,20218    ,82962                    
Turkmenistan        ,3093    ,2850     ,5943                     
Ukraine             ,30426   ,13369    ,43795                    
Uzbekistan          ,16546   ,16261    ,32807 
