
Antigua and Barbuda ,26       ,79        ,104                       
Argentina           ,41490   ,3612     ,45102                    
Bahamas             ,335      ,68        ,403                       
Barbados            ,89       ,198       ,287                       
Belize              ,179      ,211       ,390                       
Brazil              ,184408  ,27985    ,212393                  
Chile               ,16071   ,2266     ,18337                    
Colombia            ,40430   ,9420     ,49850                    
Costa Rica          ,4003    ,996       ,4999                     
Cuba                ,8861    ,2631     ,11492                    
Dominica            ,53       ,22        ,75                       
Dominican Republic  ,8998    ,1998     ,10997                    
Ecuador             ,10942   ,6159     ,17100                    
El Salvador         ,4689    ,1757     ,6445                     
Guatemala           ,9042    ,8536     ,17578                    
Guyana              ,210      ,577       ,787                       
Haiti               ,6318    ,4925     ,11243                    
Honduras            ,5524    ,4045     ,9569                     
Jamaica             ,1627    ,1279     ,2906                    
Mexico              ,106450  ,25878    ,132328                   
Nicaragua           ,3732    ,2619     ,6351                     
Panama              ,2876    ,1350     ,4226                    
Paraguay            ,4320    ,2662     ,6982                    
Peru                ,25721   ,7213     ,32934                    
Trinodad and Tobago ,732      ,644       ,1375                     
Uruguay             ,3323    ,159       ,3482      
